"OBJECTID","Transect","Easting","Northing","RedMean","RoeMean","Elevation"
1,4,347590,798120,0,2.16,149.591339111328
2,14,341620,797780,0,0.83,208.375991821289
3,3,341140,797830,0,1.5,211.09944152832
4,6,347090,797960,0,1.33,162.348693847656
5,21,340660,797450,0,0,225.629165649414
6,19,350960,797500,1,1.16,154.754516601562
7,18,341250,797520,0.16,2,216.542510986328
8,15,348680,797590,2.66,0.83,218.821060180664
9,28,351420,797240,2.33,2.5,156.001693725586
10,22,348220,797390,2.16,0.83,276.802490234375
11,38,351010,796920,5.16,0.66,225.237167358398
12,36,344380,796930,0,0,251.309753417969
13,32,346530,797090,0,2,233.466445922852
14,31,351660,797090,5.5,4.16,161.757934570312
15,47,352020,796640,0.83,2.66,210.079605102539
16,46,350180,796650,4.5,1.66,177.544830322266
17,45,346570,796680,0.16,7,297.484954833984
18,54,349800,796400,7.83,2.16,229.442993164062
19,67,348050,795900,1.5,2.33,182.957229614258
20,62,350680,796080,5.16,3,269.202270507812
21,61,351510,796100,5.83,3.16,371.344665527344
22,78,342410,795520,0.16,1.66,286.078338623047
23,76,349840,795610,5,0.5,355.938415527344
24,73,346090,795650,3.83,3,364.907012939453
25,71,346510,795730,6.66,3.83,346.799987792969
26,70,351110,795760,6.66,1.33,284.147827148438
27,88,349680,795210,1,0.33,360.816986083984
28,85,351650,795300,7.83,2.33,351.373779296875
29,84,348400,795310,4.33,1.66,245.244537353516
30,83,347960,795350,5.66,4.16,232.224838256836
31,80,346640,795450,5.33,4.83,328.773559570312
32,79,349510,795490,0.66,0.83,307.942535400391
33,93,345030,794950,1.16,2.83,409.378692626953
34,92,347000,794980,7.66,1.33,311.064453125
35,104,349420,794590,0.16,0,331.293182373047
36,102,346010,794630,7.83,2.5,328.315948486328
37,101,347670,794700,6.33,4,179.191528320312
38,96,345530,794840,7.33,3.33,372.659820556641
39,95,348700,794860,7.5,1,259.138275146484
40,110,345220,794420,1.33,4.33,308.508728027344
41,108,345610,794490,2.83,2.33,326.283905029297
42,107,348260,794510,6,2.66,283.980804443359
43,120,348100,793930,3,1.16,276.942657470703
44,119,346240,793970,2.5,0,217.302200317383
45,117,346660,794000,5,0.66,197.435699462891
46,116,345830,794080,2.83,0.66,226.723693847656
47,115,344770,794110,0.66,2.66,300.662780761719
48,114,345150,794120,2.66,1.33,234.497283935547
49,112,347170,794140,7.5,3.5,230.165573120117
50,129,345700,793620,3.66,0.66,331.751892089844
51,131,348719,793620,7.33,7.5,386.943725585938
52,127,346830,793650,4,3.5,305.792327880859
53,124,351100,793740,1,0.16,445.581878662109
54,123,344150,793770,2.16,0.16,352.872985839844
55,122,343770,793840,2.66,0,398.459320068359
56,139,348240,793280,0.66,2,299.89013671875
57,138,349160,793280,1.5,3.33,398.650787353516
58,137,347210,793310,2.66,0.83,349.555267333984
59,132,343880,793560,8,2.5,346.282348632812
60,133,347960,793560,0.83,0.5,285.531158447266
61,146,348810,793030,0.33,1.16,332.292572021484
62,144,347870,793150,1.5,0.5,265.060150146484
63,142,346570,793190,7.5,1.16,233.148849487305
64,141,343800,793220,8.16,2.33,289.558898925781
65,150,347620,792710,2.16,0.66,328.338317871094
66,149,345860,792800,0.33,0.5,345.349884033203
67,148,346210,792820,3.16,1.33,311.002044677734
68,147,346970,792850,0.83,0.16,256.124206542969
69,157,346330,792460,1.83,3,264.280059814453
70,156,349460,792510,7,4,374.975830078125
71,154,349060,792550,7.16,3,369.759674072266
72,152,347120,792610,0.83,1.33,258.449310302734
73,151,348290,792630,0.66,0.33,304.054443359375
74,160,348850,792130,11.66,1.16,332.787689208984
75,159,348330,792160,5.66,1.5,305.072265625
76,163,348530,791770,9.66,2.16,306.703979492188
77,165,347530,791370,14.83,2,412.171081542969
78,164,348010,791620,6.33,0.5,344.906555175781
